date,l1b_event_count,single_ge20ns_count,single_ge40ns_count,single_ge20ns_fraction,single_ge40ns_fraction,omni_hour_count,proton_density_cm3,flow_speed_km_s,flow_pressure_npa,scalar_b_nt,bz_gsm_nt_mean,bz_gsm_nt_min,proton_flux_cm2_s
2026-03-10,0.0,0.0,0.0,0.0,0.0,24,4.841666666666667,442.8333333333333,1.8708333333333333,6.020833333333333,-1.3583333333333334,-4.6,214598750.0
2026-03-11,12.0,1.0,0.0,0.08333333333333333,0.0,24,2.9125,464.2916666666667,1.1945833333333333,6.220833333333334,-0.5541666666666667,-3.9,135331250.0
2026-03-12,0.0,0.0,0.0,0.0,0.0,24,3.7708333333333335,423.4166666666667,1.2470833333333333,5.991666666666667,-0.28750000000000003,-4.5,159783750.0
2026-03-13,1.0,0.0,0.0,0.0,0.0,24,9.25,504.9583333333333,4.44125,8.695833333333333,0.7916666666666666,-5.6,454190000.0
2026-03-14,0.0,0.0,0.0,0.0,0.0,24,5.191666666666666,665.25,4.557916666666666,8.483333333333333,0.23749999999999993,-5.9,344345416.6666667
2026-03-15,0.0,0.0,0.0,0.0,0.0,24,3.025,642.875,2.473333333333333,5.066666666666666,0.9958333333333332,-2.5,194552083.33333334
2026-03-16,0.0,0.0,0.0,0.0,0.0,24,3.0083333333333333,546.0,1.7858333333333334,4.558333333333334,0.7333333333333334,-3.0,163809166.66666666
2026-03-17,0.0,0.0,0.0,0.0,0.0,24,3.5875,468.625,1.5666666666666667,3.858333333333333,1.6083333333333334,-0.2,167414166.66666666
2026-03-18,3.0,1.0,0.0,0.3333333333333333,0.0,24,5.041666666666667,410.375,1.735,4.241666666666666,1.5999999999999999,-1.7,206832500.0
2026-03-19,11.0,0.0,0.0,0.0,0.0,24,4.5874999999999995,358.5833333333333,1.1545833333333333,4.3625,1.0125,-1.1,164126666.66666666
2026-03-20,0.0,0.0,0.0,0.0,0.0,24,19.104166666666668,440.4583333333333,8.289166666666667,14.336842105263157,1.6105263157894734,-13.3,883760416.6666666
2026-03-21,2.0,0.0,0.0,0.0,0.0,24,11.741666666666667,498.0416666666667,6.159166666666667,23.379166666666666,3.6,-14.1,582956250.0
2026-03-22,9.0,8.0,1.0,0.8888888888888888,0.1111111111111111,24,5.079166666666667,590.2083333333334,3.6575,10.291666666666666,-4.8999999999999995,-10.0,298594166.6666667
2026-03-23,4.0,3.0,0.0,0.75,0.0,24,2.216666666666667,657.5833333333334,1.8879166666666667,5.166666666666667,-1.6708333333333334,-4.3,145657916.66666666
2026-03-24,2.0,2.0,1.0,1.0,0.5,24,2.375,590.2083333333334,1.6345833333333333,4.245833333333334,-0.9291666666666667,-3.4,140070416.66666666
2026-03-25,0.0,0.0,0.0,0.0,0.0,24,3.9,541.6666666666666,2.2875,6.070833333333333,0.9708333333333333,-3.9,213845416.66666666
2026-03-26,3.0,2.0,0.0,0.6666666666666666,0.0,24,3.8708333333333336,464.375,1.7145833333333333,4.925,-0.5625,-3.6,179317083.33333334
