source_file,record_index,epoch_tt2000,epoch_utc,channel,cdf_variable,baseline_method,baseline,robust_sigma,mean,std,sample_count
imap_idex_l1b_sci-10days_20251206_v003.cdf,133,818510649907464960,2025-12-09T00:03:00.723464960,Target L,Target_Low,mean,32606.108203125004,7.549098046869606,32606.108203125004,9.099644303967743,512
imap_idex_l1b_sci-10days_20251206_v003.cdf,133,818510649907464960,2025-12-09T00:03:00.723464960,Ion Grid,Ion_Grid,mean,1.5095397421874999,0.0005659709671873031,1.5095397421874999,0.0004731113067056823,512
imap_idex_l1b_sci-10days_20251206_v003.cdf,134,818510661907394176,2025-12-09T00:03:12.723394176,TOF H,TOF_High,mean,0.14768404664794235,0.0008644249602393579,0.14768404664794235,0.0007940771948010018,8189
imap_idex_l1b_sci-10days_20251206_v003.cdf,134,818510661907394176,2025-12-09T00:03:12.723394176,TOF M,TOF_Mid,mean,5.791503211625351,0.008752101555745411,5.791503211625351,0.011438614994710834,8189
imap_idex_l1b_sci-10days_20251206_v003.cdf,134,818510661907394176,2025-12-09T00:03:12.723394176,TOF L,TOF_Low,mean,263.7865072658444,1.3691703276590317,263.7865072658444,0.8975908783428631,8189
imap_idex_l1b_sci-10days_20251206_v003.cdf,134,818510661907394176,2025-12-09T00:03:12.723394176,Target H,Target_High,mean,333.17008984375,0.00283199765625809,333.17008984375,0.1156919896075447,512
imap_idex_l1b_sci-10days_20251206_v003.cdf,134,818510661907394176,2025-12-09T00:03:12.723394176,Target L,Target_Low,mean,32606.04648437501,7.640602265613134,32606.04648437501,9.277490155094396,512
imap_idex_l1b_sci-10days_20251206_v003.cdf,134,818510661907394176,2025-12-09T00:03:12.723394176,Ion Grid,Ion_Grid,mean,1.5095601406249997,0.0005962136906244935,1.5095601406249997,0.0004629967557657974,512
imap_idex_l1b_sci-10days_20251206_v003.cdf,135,818510673907323520,2025-12-09T00:03:24.723323520,TOF H,TOF_High,mean,0.14767571791427525,0.0008618088202955131,0.14767571791427525,0.0007917454073948934,8189
imap_idex_l1b_sci-10days_20251206_v003.cdf,135,818510673907323520,2025-12-09T00:03:24.723323520,TOF M,TOF_Mid,mean,5.791915801685187,0.009363807578458862,5.791915801685187,0.011342573098574811,8189
imap_idex_l1b_sci-10days_20251206_v003.cdf,135,818510673907323520,2025-12-09T00:03:24.723323520,TOF L,TOF_Low,mean,263.7352892905117,1.4451060978873629,263.7352892905117,0.8908171547973924,8189
imap_idex_l1b_sci-10days_20251206_v003.cdf,135,818510673907323520,2025-12-09T00:03:24.723323520,Target H,Target_High,mean,333.1516250000001,0.030207974999917744,333.1516250000001,0.123096030856002,512
imap_idex_l1b_sci-10days_20251206_v003.cdf,135,818510673907323520,2025-12-09T00:03:24.723323520,Target L,Target_Low,mean,32606.50937500001,6.954320624988133,32606.50937500001,9.180962278506934,512
